,Date,Confirmed,Deaths,Mortality Rate
Netherlands,03-09-2020,321.0,3.0,0.9345794392523363
Sweden,03-09-2020,248.0,0.0,0.0
Belgium,03-09-2020,239.0,0.0,0.0
Singapore,03-09-2020,150.0,0.0,0.0
Austria,03-09-2020,131.0,0.0,0.0
Malaysia,03-09-2020,117.0,0.0,0.0
Hong Kong,03-09-2020,115.0,3.0,2.608695652173913
Bahrain,03-09-2020,95.0,0.0,0.0
Australia,03-09-2020,91.0,4.0,4.395604395604396
Denmark,03-09-2020,90.0,0.0,0.0
Canada,03-09-2020,76.0,1.0,1.3157894736842104
Greece,03-09-2020,73.0,0.0,0.0
UK,03-09-2020,321.0,4.0,1.2461059190031152
Croatia,03-09-2020,12.0,0.0,0.0
Czech Republic,03-09-2020,31.0,0.0,0.0
Estonia,03-09-2020,10.0,0.0,0.0
St. Martin,03-09-2020,2.0,0.0,0.0
Cameroon,03-09-2020,2.0,0.0,0.0
Nigeria,03-09-2020,2.0,0.0,0.0
Cambodia,03-09-2020,2.0,0.0,0.0
Albania,03-09-2020,2.0,0.0,0.0
Faroe Islands,03-09-2020,2.0,0.0,0.0
Serbia,03-09-2020,1.0,0.0,0.0
Vatican City,03-09-2020,1.0,0.0,0.0
Andorra,03-09-2020,1.0,0.0,0.0
Ukraine,03-09-2020,1.0,0.0,0.0
Armenia,03-09-2020,1.0,0.0,0.0
Nepal,03-09-2020,1.0,0.0,0.0
Lithuania,03-09-2020,1.0,0.0,0.0
Togo,03-09-2020,1.0,0.0,0.0
Bhutan,03-09-2020,1.0,0.0,0.0
Brunei,03-09-2020,1.0,0.0,0.0
Argentina,03-09-2020,12.0,1.0,8.333333333333332
Saint Barthelemy,03-09-2020,1.0,0.0,0.0
Sri Lanka,03-09-2020,1.0,0.0,0.0
Moldova,03-09-2020,1.0,0.0,0.0
Jordan,03-09-2020,1.0,0.0,0.0
Paraguay,03-09-2020,1.0,0.0,0.0
Colombia,03-09-2020,1.0,0.0,0.0
Gibraltar,03-09-2020,1.0,0.0,0.0
Liechtenstein,03-09-2020,1.0,0.0,0.0
Morocco,03-09-2020,2.0,0.0,0.0
Tunisia,03-09-2020,2.0,0.0,0.0
Monaco,03-09-2020,1.0,0.0,0.0
Martinique,03-09-2020,2.0,0.0,0.0
Cyprus,03-09-2020,2.0,0.0,0.0
Macau,03-09-2020,10.0,0.0,0.0
Azerbaijan,03-09-2020,9.0,0.0,0.0
Hungary,03-09-2020,9.0,0.0,0.0
Costa Rica,03-09-2020,9.0,0.0,0.0
Mexico,03-09-2020,7.0,0.0,0.0
Peru,03-09-2020,7.0,0.0,0.0
Belarus,03-09-2020,6.0,0.0,0.0
Pakistan,03-09-2020,6.0,0.0,0.0
Latvia,03-09-2020,6.0,0.0,0.0
Dominican Republic,03-09-2020,5.0,0.0,0.0
French Guiana,03-09-2020,5.0,0.0,0.0
New Zealand,03-09-2020,5.0,0.0,0.0
Chile,03-09-2020,8.0,0.0,0.0
Afghanistan,03-09-2020,4.0,0.0,0.0
Senegal,03-09-2020,4.0,0.0,0.0
Luxembourg,03-09-2020,3.0,0.0,0.0
South Africa,03-09-2020,3.0,0.0,0.0
Slovakia,03-09-2020,3.0,0.0,0.0
Bangladesh,03-09-2020,3.0,0.0,0.0
Bosnia and Herzegovina,03-09-2020,3.0,0.0,0.0
North Macedonia,03-09-2020,3.0,0.0,0.0
Maldives,03-09-2020,4.0,0.0,0.0
Bulgaria,03-09-2020,4.0,0.0,0.0
Malta,03-09-2020,3.0,0.0,0.0
Viet Nam,03-10-2020,31.0,0.0,0.0
Brazil,03-10-2020,31.0,0.0,0.0
Indonesia,03-10-2020,27.0,0.0,0.0
Romania,03-10-2020,25.0,0.0,0.0
Slovenia,03-10-2020,31.0,0.0,0.0
occupied Palestinian territory,03-10-2020,25.0,0.0,0.0
Qatar,03-10-2020,24.0,0.0,0.0
Poland,03-10-2020,22.0,0.0,0.0
Pakistan,03-10-2020,16.0,0.0,0.0
Saudi Arabia,03-10-2020,20.0,0.0,0.0
Oman,03-10-2020,18.0,0.0,0.0
Argentina,03-10-2020,17.0,1.0,5.88235294117647
Ecuador,03-10-2020,15.0,0.0,0.0
Georgia,03-10-2020,15.0,0.0,0.0
Philippines,03-10-2020,33.0,1.0,3.0303030303030303
Chile,03-10-2020,13.0,0.0,0.0
Croatia,03-10-2020,14.0,0.0,0.0
Algeria,03-10-2020,20.0,0.0,0.0
Ireland,03-10-2020,34.0,0.0,0.0
Iraq,03-10-2020,71.0,7.0,9.859154929577464
Portugal,03-10-2020,41.0,0.0,0.0
Armenia,03-10-2020,1.0,0.0,0.0
Hong Kong SAR,03-10-2020,120.0,3.0,2.5
Bahrain,03-10-2020,110.0,0.0,0.0
Australia,03-10-2020,107.0,3.0,2.803738317757009
Greece,03-10-2020,89.0,0.0,0.0
Canada,03-10-2020,79.0,1.0,1.2658227848101267
United Arab Emirates,03-10-2020,74.0,0.0,0.0
Kuwait,03-10-2020,69.0,0.0,0.0
Iceland,03-10-2020,69.0,0.0,0.0
Egypt,03-10-2020,59.0,1.0,1.694915254237288
Israel,03-10-2020,58.0,0.0,0.0
India,03-10-2020,56.0,0.0,0.0
Thailand,03-10-2020,53.0,1.0,1.8867924528301887
San Marino,03-10-2020,51.0,2.0,3.9215686274509802
Taipei and environs,03-10-2020,47.0,1.0,2.127659574468085
Lebanon,03-10-2020,41.0,1.0,2.4390243902439024
Czech Republic,03-10-2020,41.0,0.0,0.0
Finland,03-10-2020,40.0,0.0,0.0
Estonia,03-10-2020,12.0,0.0,0.0
Netherlands,03-10-2020,382.0,4.0,1.0471204188481675
Peru,03-10-2020,11.0,0.0,0.0
Senegal,03-10-2020,4.0,0.0,0.0
Cyprus,03-10-2020,3.0,0.0,0.0
Bangladesh,03-10-2020,3.0,0.0,0.0
Morocco,03-10-2020,3.0,1.0,33.33333333333333
Colombia,03-10-2020,3.0,0.0,0.0
Republic of Moldova,03-10-2020,3.0,0.0,0.0
Saint Martin,03-10-2020,2.0,0.0,0.0
Faroe Islands,03-10-2020,2.0,0.0,0.0
Nigeria,03-10-2020,2.0,0.0,0.0
Martinique,03-10-2020,2.0,0.0,0.0
Cambodia,03-10-2020,2.0,0.0,0.0
Cameroon,03-10-2020,2.0,0.0,0.0
Saint Barthelemy,03-10-2020,1.0,0.0,0.0
Nepal,03-10-2020,1.0,0.0,0.0
Gibraltar,03-10-2020,1.0,0.0,0.0
Andorra,03-10-2020,1.0,0.0,0.0
Malaysia,03-10-2020,129.0,0.0,0.0
Bulgaria,03-10-2020,4.0,0.0,0.0
Malta,03-10-2020,5.0,0.0,0.0
Dominican Republic,03-10-2020,5.0,0.0,0.0
Luxembourg,03-10-2020,5.0,0.0,0.0
Macao SAR,03-10-2020,10.0,0.0,0.0
Albania,03-10-2020,10.0,0.0,0.0
Russian Federation,03-10-2020,10.0,0.0,0.0
Hungary,03-10-2020,9.0,0.0,0.0
Costa Rica,03-10-2020,9.0,0.0,0.0
Belarus,03-10-2020,9.0,0.0,0.0
Latvia,03-10-2020,8.0,0.0,0.0
Mexico,03-10-2020,7.0,0.0,0.0
Azerbaijan,03-10-2020,11.0,0.0,0.0
Slovakia,03-10-2020,7.0,0.0,0.0
North Macedonia,03-10-2020,7.0,0.0,0.0
Maldives,03-10-2020,6.0,0.0,0.0
Serbia,03-10-2020,5.0,0.0,0.0
Bosnia and Herzegovina,03-10-2020,5.0,0.0,0.0
Tunisia,03-10-2020,5.0,0.0,0.0
Afghanistan,03-10-2020,5.0,0.0,0.0
New Zealand,03-10-2020,5.0,0.0,0.0
French Guiana,03-10-2020,5.0,0.0,0.0
South Africa,03-10-2020,7.0,0.0,0.0
Singapore,03-10-2020,160.0,0.0,0.0
Panama,03-10-2020,1.0,0.0,0.0
Togo,03-10-2020,1.0,0.0,0.0
UK,03-10-2020,382.0,6.0,1.5706806282722512
Norway,03-10-2020,400.0,0.0,0.0
Switzerland,03-10-2020,491.0,3.0,0.6109979633401221
Japan,03-10-2020,581.0,10.0,1.7211703958691909
Others,03-10-2020,696.0,6.0,0.8620689655172413
US,03-10-2020,959.0,28.0,2.9197080291970803
Sweden,03-10-2020,355.0,0.0,0.0
Ukraine,03-10-2020,1.0,0.0,0.0
France,03-10-2020,1784.0,33.0,1.8497757847533634
Republic of Korea,03-10-2020,7513.0,54.0,0.7187541594569413
Iran (Islamic Republic of),03-10-2020,8042.0,291.0,3.618502859985078
Italy,03-10-2020,10149.0,631.0,6.21736131638585
China,03-10-2020,80757.0,3136.0,3.883254702378741
Holy See,03-10-2020,1.0,0.0,0.0
Spain,03-10-2020,1695.0,35.0,2.0648967551622417
Belgium,03-10-2020,267.0,0.0,0.0
Germany,03-10-2020,1457.0,2.0,0.13726835964310227
Austria,03-10-2020,182.0,0.0,0.0
Denmark,03-10-2020,262.0,0.0,0.0
Bhutan,03-10-2020,1.0,0.0,0.0
Liechtenstein,03-10-2020,1.0,0.0,0.0
Burkina Faso,03-10-2020,1.0,0.0,0.0
Sri Lanka,03-10-2020,1.0,0.0,0.0
Mongolia,03-10-2020,1.0,0.0,0.0
Brunei,03-10-2020,1.0,0.0,0.0
Lithuania,03-10-2020,1.0,0.0,0.0
Monaco,03-10-2020,1.0,0.0,0.0
Paraguay,03-10-2020,1.0,0.0,0.0
Channel Islands,03-10-2020,1.0,0.0,0.0
Jordan,03-10-2020,1.0,0.0,0.0
Philippines,03-11-2020,49.0,1.0,2.0408163265306123
Lebanon,03-11-2020,61.0,3.0,4.918032786885246
India,03-11-2020,62.0,1.0,1.6129032258064515
San Marino,03-11-2020,62.0,2.0,3.225806451612903
Iraq,03-11-2020,71.0,7.0,9.859154929577464
Egypt,03-11-2020,60.0,1.0,1.6666666666666667
Portugal,03-11-2020,59.0,0.0,0.0
Kuwait,03-11-2020,72.0,0.0,0.0
Finland,03-11-2020,59.0,0.0,0.0
Thailand,03-11-2020,59.0,1.0,1.694915254237288
Slovenia,03-11-2020,57.0,0.0,0.0
Indonesia,03-11-2020,34.0,1.0,2.941176470588235
Romania,03-11-2020,45.0,0.0,0.0
Ireland,03-11-2020,43.0,1.0,2.3255813953488373
Vietnam,03-11-2020,38.0,0.0,0.0
Brazil,03-11-2020,38.0,0.0,0.0
Poland,03-11-2020,31.0,0.0,0.0
Georgia,03-11-2020,24.0,0.0,0.0
Argentina,03-11-2020,19.0,1.0,5.263157894736842
Algeria,03-11-2020,20.0,0.0,0.0
Russia,03-11-2020,20.0,0.0,0.0
Chile,03-11-2020,23.0,0.0,0.0
Saudi Arabia,03-11-2020,21.0,0.0,0.0
Taiwan*,03-11-2020,48.0,1.0,2.083333333333333
United Arab Emirates,03-11-2020,74.0,0.0,0.0
Netherlands,03-11-2020,503.0,5.0,0.9940357852882704
Czechia,03-11-2020,91.0,0.0,0.0
China,03-11-2020,80921.0,3161.0,3.9062789634334725
Italy,03-11-2020,12462.0,827.0,6.636173968865351
Iran,03-11-2020,9000.0,354.0,3.933333333333333
"Korea, South",03-11-2020,7755.0,60.0,0.7736943907156674
France,03-11-2020,2284.0,48.0,2.1015761821366024
Spain,03-11-2020,2277.0,54.0,2.371541501976284
Germany,03-11-2020,1908.0,3.0,0.15723270440251574
US,03-11-2020,1281.0,36.0,2.810304449648712
Cruise Ship,03-11-2020,696.0,7.0,1.0057471264367817
Switzerland,03-11-2020,652.0,4.0,0.6134969325153374
Japan,03-11-2020,639.0,15.0,2.3474178403755865
Iceland,03-11-2020,85.0,0.0,0.0
Norway,03-11-2020,598.0,0.0,0.0
United Kingdom,03-11-2020,459.0,8.0,1.7429193899782136
Denmark,03-11-2020,444.0,0.0,0.0
Belgium,03-11-2020,314.0,3.0,0.9554140127388535
Qatar,03-11-2020,262.0,0.0,0.0
Austria,03-11-2020,246.0,0.0,0.0
Bahrain,03-11-2020,195.0,0.0,0.0
Singapore,03-11-2020,178.0,0.0,0.0
Malaysia,03-11-2020,149.0,0.0,0.0
Australia,03-11-2020,128.0,3.0,2.34375
Israel,03-11-2020,109.0,0.0,0.0
Canada,03-11-2020,108.0,1.0,0.9259259259259258
Sweden,03-11-2020,500.0,1.0,0.2
Greece,03-11-2020,99.0,1.0,1.0101010101010102
Pakistan,03-11-2020,19.0,0.0,0.0
Ecuador,03-11-2020,17.0,0.0,0.0
Ukraine,03-11-2020,1.0,0.0,0.0
Sri Lanka,03-11-2020,2.0,0.0,0.0
Cameroon,03-11-2020,2.0,0.0,0.0
Nigeria,03-11-2020,2.0,0.0,0.0
Honduras,03-11-2020,2.0,0.0,0.0
Bolivia,03-11-2020,2.0,0.0,0.0
Burkina Faso,03-11-2020,2.0,0.0,0.0
Moldova,03-11-2020,3.0,0.0,0.0
Martinique,03-11-2020,3.0,0.0,0.0
Bangladesh,03-11-2020,3.0,0.0,0.0
Cambodia,03-11-2020,3.0,0.0,0.0
Lithuania,03-11-2020,3.0,0.0,0.0
Senegal,03-11-2020,4.0,0.0,0.0
Paraguay,03-11-2020,5.0,0.0,0.0
Turkey,03-11-2020,1.0,0.0,0.0
New Zealand,03-11-2020,5.0,0.0,0.0
Morocco,03-11-2020,5.0,1.0,20.0
French Guiana,03-11-2020,5.0,0.0,0.0
Malta,03-11-2020,6.0,0.0,0.0
Cyprus,03-11-2020,6.0,0.0,0.0
Luxembourg,03-11-2020,7.0,0.0,0.0
Bosnia and Herzegovina,03-11-2020,7.0,0.0,0.0
Bulgaria,03-11-2020,7.0,1.0,14.285714285714285
Afghanistan,03-11-2020,7.0,0.0,0.0
North Macedonia,03-11-2020,7.0,0.0,0.0
Tunisia,03-11-2020,7.0,0.0,0.0
Mexico,03-11-2020,8.0,0.0,0.0
Panama,03-11-2020,8.0,1.0,12.5
Maldives,03-11-2020,8.0,0.0,0.0
Belarus,03-11-2020,9.0,0.0,0.0
Dominican Republic,03-11-2020,5.0,0.0,0.0
Oman,03-11-2020,18.0,0.0,0.0
Togo,03-11-2020,1.0,0.0,0.0
Andorra,03-11-2020,1.0,0.0,0.0
Albania,03-11-2020,12.0,1.0,8.333333333333332
Serbia,03-11-2020,12.0,0.0,0.0
Azerbaijan,03-11-2020,11.0,0.0,0.0
Peru,03-11-2020,11.0,0.0,0.0
Brunei,03-11-2020,11.0,0.0,0.0
Slovakia,03-11-2020,10.0,0.0,0.0
Latvia,03-11-2020,10.0,0.0,0.0
Colombia,03-11-2020,9.0,0.0,0.0
Hungary,03-11-2020,13.0,0.0,0.0
Estonia,03-11-2020,16.0,0.0,0.0
Armenia,03-11-2020,1.0,0.0,0.0
South Africa,03-11-2020,13.0,0.0,0.0
Croatia,03-11-2020,19.0,0.0,0.0
China,03-11-2020,0.0,0.0,
Mongolia,03-11-2020,1.0,0.0,0.0
Monaco,03-11-2020,1.0,0.0,0.0
Liechtenstein,03-11-2020,1.0,0.0,0.0
Reunion,03-11-2020,1.0,0.0,0.0
Jordan,03-11-2020,1.0,0.0,0.0
Jamaica,03-11-2020,1.0,0.0,0.0
Holy See,03-11-2020,1.0,0.0,0.0
Cote d'Ivoire,03-11-2020,1.0,0.0,0.0
Congo (Kinshasa),03-11-2020,1.0,0.0,0.0
Nepal,03-11-2020,1.0,0.0,0.0
Bhutan,03-11-2020,1.0,0.0,0.0
occupied Palestinian territory,03-11-2020,0.0,0.0,
Costa Rica,03-11-2020,13.0,0.0,0.0
Israel,03-12-2020,131.0,0.0,0.0
Singapore,03-12-2020,178.0,0.0,0.0
Bahrain,03-12-2020,195.0,0.0,0.0
Malaysia,03-12-2020,149.0,0.0,0.0
Qatar,03-12-2020,262.0,0.0,0.0
Egypt,03-12-2020,67.0,1.0,1.4925373134328357
Germany,03-12-2020,2078.0,3.0,0.14436958614051973
Belgium,03-12-2020,314.0,3.0,0.9554140127388535
Lebanon,03-12-2020,61.0,3.0,4.918032786885246
China,03-12-2020,80932.0,3172.0,3.9193396925814263
Italy,03-12-2020,12462.0,827.0,6.636173968865351
Iran,03-12-2020,10075.0,429.0,4.258064516129032
"Korea, South",03-12-2020,7869.0,66.0,0.8387342737323675
France,03-12-2020,2284.0,48.0,2.1015761821366024
Spain,03-12-2020,2277.0,55.0,2.4154589371980677
Australia,03-12-2020,128.0,3.0,2.34375
US,03-12-2020,1663.0,40.0,2.4052916416115453
Norway,03-12-2020,702.0,0.0,0.0
Cruise Ship,03-12-2020,696.0,7.0,1.0057471264367817
Switzerland,03-12-2020,652.0,4.0,0.6134969325153374
Japan,03-12-2020,639.0,16.0,2.503912363067293
Denmark,03-12-2020,617.0,0.0,0.0
Sweden,03-12-2020,599.0,1.0,0.1669449081803005
Netherlands,03-12-2020,503.0,5.0,0.9940357852882704
United Kingdom,03-12-2020,459.0,8.0,1.7429193899782136
Austria,03-12-2020,302.0,1.0,0.33112582781456956
Canada,03-12-2020,117.0,1.0,0.8547008547008548
India,03-12-2020,73.0,1.0,1.36986301369863
Greece,03-12-2020,99.0,1.0,1.0101010101010102
Cuba,03-12-2020,3.0,0.0,0.0
Cambodia,03-12-2020,3.0,0.0,0.0
Bolivia,03-12-2020,2.0,0.0,0.0
Sri Lanka,03-12-2020,2.0,0.0,0.0
Cameroon,03-12-2020,2.0,0.0,0.0
Nigeria,03-12-2020,2.0,0.0,0.0
Monaco,03-12-2020,2.0,0.0,0.0
Honduras,03-12-2020,2.0,0.0,0.0
Jamaica,03-12-2020,2.0,0.0,0.0
Togo,03-12-2020,1.0,0.0,0.0
Azerbaijan,03-12-2020,11.0,0.0,0.0
Brunei,03-12-2020,11.0,0.0,0.0
Mexico,03-12-2020,12.0,0.0,0.0
Belarus,03-12-2020,12.0,0.0,0.0
Hungary,03-12-2020,13.0,0.0,0.0
Peru,03-12-2020,15.0,0.0,0.0
Slovakia,03-12-2020,16.0,0.0,0.0
Estonia,03-12-2020,16.0,0.0,0.0
Ecuador,03-12-2020,17.0,0.0,0.0
Moldova,03-12-2020,3.0,0.0,0.0
South Africa,03-12-2020,17.0,0.0,0.0
Bangladesh,03-12-2020,3.0,0.0,0.0
Lithuania,03-12-2020,3.0,0.0,0.0
Iceland,03-12-2020,103.0,0.0,0.0
French Guiana,03-12-2020,5.0,0.0,0.0
Dominican Republic,03-12-2020,5.0,0.0,0.0
Paraguay,03-12-2020,5.0,0.0,0.0
Malta,03-12-2020,6.0,0.0,0.0
Cyprus,03-12-2020,6.0,0.0,0.0
Morocco,03-12-2020,6.0,1.0,16.666666666666664
Tunisia,03-12-2020,7.0,0.0,0.0
Bulgaria,03-12-2020,7.0,1.0,14.285714285714285
Afghanistan,03-12-2020,7.0,0.0,0.0
North Macedonia,03-12-2020,7.0,0.0,0.0
Maldives,03-12-2020,8.0,0.0,0.0
Colombia,03-12-2020,9.0,0.0,0.0
Latvia,03-12-2020,10.0,0.0,0.0
Panama,03-12-2020,11.0,1.0,9.090909090909092
Bosnia and Herzegovina,03-12-2020,11.0,0.0,0.0
New Zealand,03-12-2020,5.0,0.0,0.0
Senegal,03-12-2020,4.0,0.0,0.0
Armenia,03-12-2020,4.0,0.0,0.0
Martinique,03-12-2020,3.0,0.0,0.0
Oman,03-12-2020,18.0,0.0,0.0
Burkina Faso,03-12-2020,2.0,0.0,0.0
Serbia,03-12-2020,19.0,0.0,0.0
Mongolia,03-12-2020,1.0,0.0,0.0
Liechtenstein,03-12-2020,1.0,0.0,0.0
Holy See,03-12-2020,1.0,0.0,0.0
Guyana,03-12-2020,1.0,1.0,100.0
Cote d'Ivoire,03-12-2020,1.0,0.0,0.0
Congo (Kinshasa),03-12-2020,1.0,0.0,0.0
Bhutan,03-12-2020,1.0,0.0,0.0
Andorra,03-12-2020,1.0,0.0,0.0
China,03-12-2020,0.0,0.0,
occupied Palestinian territory,03-12-2020,0.0,0.0,
San Marino,03-12-2020,69.0,3.0,4.3478260869565215
Thailand,03-12-2020,70.0,1.0,1.4285714285714286
Finland,03-12-2020,59.0,0.0,0.0
Iraq,03-12-2020,71.0,8.0,11.267605633802818
Portugal,03-12-2020,59.0,0.0,0.0
Luxembourg,03-12-2020,19.0,0.0,0.0
United Arab Emirates,03-12-2020,85.0,0.0,0.0
Slovenia,03-12-2020,89.0,0.0,0.0
Czechia,03-12-2020,94.0,0.0,0.0
Nepal,03-12-2020,1.0,0.0,0.0
Reunion,03-12-2020,1.0,0.0,0.0
Kuwait,03-12-2020,80.0,0.0,0.0
Ukraine,03-12-2020,1.0,0.0,0.0
Jordan,03-12-2020,1.0,0.0,0.0
Croatia,03-12-2020,19.0,0.0,0.0
Pakistan,03-12-2020,20.0,0.0,0.0
Costa Rica,03-12-2020,22.0,0.0,0.0
Chile,03-12-2020,23.0,0.0,0.0
Albania,03-12-2020,23.0,1.0,4.3478260869565215
Algeria,03-12-2020,24.0,1.0,4.166666666666666
Georgia,03-12-2020,24.0,0.0,0.0
Russia,03-12-2020,28.0,0.0,0.0
Indonesia,03-12-2020,34.0,1.0,2.941176470588235
Argentina,03-12-2020,19.0,1.0,5.263157894736842
Ireland,03-12-2020,43.0,1.0,2.3255813953488373
Saudi Arabia,03-12-2020,45.0,0.0,0.0
Taiwan*,03-12-2020,49.0,1.0,2.0408163265306123
Romania,03-12-2020,49.0,0.0,0.0
Poland,03-12-2020,49.0,1.0,2.0408163265306123
Philippines,03-12-2020,52.0,2.0,3.8461538461538463
Brazil,03-12-2020,52.0,0.0,0.0
Vietnam,03-12-2020,39.0,0.0,0.0
Turkey,03-12-2020,1.0,0.0,0.0
Vietnam,03-13-2020,47.0,0.0,0.0
Taiwan*,03-13-2020,50.0,1.0,2.0
Philippines,03-13-2020,64.0,5.0,7.8125
Poland,03-13-2020,68.0,2.0,2.941176470588235
Thailand,03-13-2020,75.0,1.0,1.3333333333333335
Lebanon,03-13-2020,77.0,3.0,3.896103896103896
Estonia,03-13-2020,79.0,0.0,0.0
India,03-13-2020,82.0,2.0,2.4390243902439024
Kuwait,03-13-2020,80.0,0.0,0.0
San Marino,03-13-2020,80.0,5.0,6.25
United Arab Emirates,03-13-2020,85.0,0.0,0.0
Saudi Arabia,03-13-2020,86.0,0.0,0.0
Romania,03-13-2020,89.0,0.0,0.0
Ireland,03-13-2020,90.0,1.0,1.1111111111111112
Russia,03-13-2020,45.0,0.0,0.0
Iraq,03-13-2020,101.0,9.0,8.91089108910891
Egypt,03-13-2020,80.0,2.0,2.5
Chile,03-13-2020,43.0,0.0,0.0
Panama,03-13-2020,27.0,1.0,3.7037037037037033
Serbia,03-13-2020,35.0,0.0,0.0
Portugal,03-13-2020,112.0,0.0,0.0
Costa Rica,03-13-2020,23.0,0.0,0.0
Hungary,03-13-2020,19.0,0.0,0.0
Bulgaria,03-13-2020,23.0,1.0,4.3478260869565215
South Africa,03-13-2020,24.0,0.0,0.0
Oman,03-13-2020,19.0,0.0,0.0
Georgia,03-13-2020,25.0,0.0,0.0
Brunei,03-13-2020,37.0,0.0,0.0
Algeria,03-13-2020,26.0,2.0,7.6923076923076925
Pakistan,03-13-2020,28.0,0.0,0.0
Peru,03-13-2020,28.0,0.0,0.0
Argentina,03-13-2020,31.0,2.0,6.451612903225806
Croatia,03-13-2020,32.0,0.0,0.0
Slovakia,03-13-2020,32.0,0.0,0.0
Albania,03-13-2020,33.0,1.0,3.0303030303030303
Luxembourg,03-13-2020,34.0,0.0,0.0
Belarus,03-13-2020,27.0,0.0,0.0
Iceland,03-13-2020,134.0,0.0,0.0
Indonesia,03-13-2020,69.0,4.0,5.797101449275362
Slovenia,03-13-2020,141.0,0.0,0.0
Ukraine,03-13-2020,3.0,1.0,33.33333333333333
Bolivia,03-13-2020,3.0,0.0,0.0
Martinique,03-13-2020,3.0,0.0,0.0
Bangladesh,03-13-2020,3.0,0.0,0.0
Kazakhstan,03-13-2020,4.0,0.0,0.0
Cuba,03-13-2020,4.0,0.0,0.0
Reunion,03-13-2020,5.0,0.0,0.0
Turkey,03-13-2020,5.0,0.0,0.0
Cambodia,03-13-2020,5.0,0.0,0.0
French Guiana,03-13-2020,5.0,0.0,0.0
New Zealand,03-13-2020,5.0,0.0,0.0
Dominican Republic,03-13-2020,5.0,0.0,0.0
Paraguay,03-13-2020,6.0,0.0,0.0
Moldova,03-13-2020,6.0,0.0,0.0
Sri Lanka,03-13-2020,6.0,0.0,0.0
Lithuania,03-13-2020,6.0,0.0,0.0
Morocco,03-13-2020,7.0,1.0,14.285714285714285
Afghanistan,03-13-2020,7.0,0.0,0.0
Jamaica,03-13-2020,8.0,0.0,0.0
Armenia,03-13-2020,8.0,0.0,0.0
Maldives,03-13-2020,9.0,0.0,0.0
Czechia,03-13-2020,141.0,0.0,0.0
Senegal,03-13-2020,10.0,0.0,0.0
Nigeria,03-13-2020,2.0,0.0,0.0
Honduras,03-13-2020,2.0,0.0,0.0
China,03-13-2020,80945.0,3180.0,3.928593489406387
Guadeloupe,03-13-2020,1.0,0.0,0.0
Cayman Islands,03-13-2020,1.0,0.0,0.0
Bhutan,03-13-2020,1.0,0.0,0.0
Guinea,03-13-2020,1.0,0.0,0.0
Nepal,03-13-2020,1.0,0.0,0.0
Mongolia,03-13-2020,1.0,0.0,0.0
Liechtenstein,03-13-2020,1.0,0.0,0.0
Sudan,03-13-2020,1.0,1.0,100.0
Kenya,03-13-2020,1.0,0.0,0.0
Cote d'Ivoire,03-13-2020,1.0,0.0,0.0
Togo,03-13-2020,1.0,0.0,0.0
Ethiopia,03-13-2020,1.0,0.0,0.0
Antigua and Barbuda,03-13-2020,1.0,0.0,0.0
Holy See,03-13-2020,1.0,0.0,0.0
Andorra,03-13-2020,1.0,0.0,0.0
Guyana,03-13-2020,1.0,1.0,100.0
Jordan,03-13-2020,1.0,0.0,0.0
Cameroon,03-13-2020,2.0,0.0,0.0
Congo (Kinshasa),03-13-2020,2.0,0.0,0.0
Monaco,03-13-2020,2.0,0.0,0.0
Burkina Faso,03-13-2020,2.0,0.0,0.0
Malta,03-13-2020,12.0,0.0,0.0
Aruba,03-13-2020,2.0,0.0,0.0
Denmark,03-13-2020,804.0,0.0,0.0
Spain,03-13-2020,5232.0,133.0,2.5420489296636086
Germany,03-13-2020,3675.0,7.0,0.19047619047619047
France,03-13-2020,3667.0,79.0,2.1543496045814017
US,03-13-2020,2179.0,47.0,2.1569527306103717
Switzerland,03-13-2020,1139.0,11.0,0.9657594381035997
Norway,03-13-2020,996.0,0.0,0.0
Sweden,03-13-2020,814.0,1.0,0.12285012285012285
Netherlands,03-13-2020,804.0,10.0,1.2437810945273633
United Kingdom,03-13-2020,801.0,8.0,0.9987515605493134
Japan,03-13-2020,701.0,19.0,2.710413694721826
Cruise Ship,03-13-2020,696.0,7.0,1.0057471264367817
Belgium,03-13-2020,559.0,3.0,0.5366726296958855
Austria,03-13-2020,504.0,1.0,0.1984126984126984
Qatar,03-13-2020,320.0,0.0,0.0
Australia,03-13-2020,200.0,3.0,1.5
Singapore,03-13-2020,200.0,0.0,0.0
Malaysia,03-13-2020,197.0,0.0,0.0
Canada,03-13-2020,193.0,1.0,0.5181347150259068
Greece,03-13-2020,190.0,1.0,0.5263157894736842
Bahrain,03-13-2020,189.0,0.0,0.0
Israel,03-13-2020,161.0,0.0,0.0
"Korea, South",03-13-2020,7979.0,66.0,0.8271713247274095
Finland,03-13-2020,155.0,0.0,0.0
Iran,03-13-2020,11364.0,514.0,4.523055262231609
Ecuador,03-13-2020,17.0,0.0,0.0
Italy,03-13-2020,17660.0,1266.0,7.168742921857304
Mexico,03-13-2020,12.0,0.0,0.0
Bosnia and Herzegovina,03-13-2020,13.0,0.0,0.0
Colombia,03-13-2020,13.0,0.0,0.0
Brazil,03-13-2020,151.0,0.0,0.0
North Macedonia,03-13-2020,14.0,0.0,0.0
Azerbaijan,03-13-2020,15.0,1.0,6.666666666666667
Tunisia,03-13-2020,16.0,0.0,0.0
Latvia,03-13-2020,17.0,0.0,0.0
